"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"125","RT @DBLTAPesports: No one: 

Amazon Prime Delivery Drivers:  ","0","2020-05-05 14:14:55","TRUE","9112","0",TRUE
"126","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:14:38","TRUE","26","0",TRUE
"127","RT @pycoders: Whole-Foods-Delivery-Slot: Automation for Whole Foods and Amazon Fresh Deliveries   ","1","2020-05-05 14:12:53","TRUE","1","0",FALSE
"128","RT @AY_WINS: Amazon prime dont mean shit no more from the looks of these delivery times.  ","-1","2020-05-05 14:12:35","TRUE","3","0",FALSE
"129","RT @ShannonO_c: .@amazonca @AmazonHelp Are u paying @canadapostcorp 2 actually deliver items? Cause in my case they are not even attempting","0","2020-05-05 14:11:49","TRUE","1","0",FALSE
"130","The Amazon delivery drivers be so lost when thy get back here. Thats why I always put the building number on my address.","-1","2020-05-05 14:11:23","FALSE","0","0",FALSE
"131","RT @cool___josh: Amazon policy: all delivery drivers must pass through a temperature check station and receive a face mask before beginning","0","2020-05-05 14:11:09","TRUE","32","0",FALSE
"132",".@amazonca @AmazonHelp Are u paying @canadapostcorp 2 actually deliver items? Cause in my case they are not even at  ","0","2020-05-05 14:11:03","FALSE","1","0",FALSE
"133","RT @BadWilf: So, I wont be getting the season 14 DoctorWho blu ray. 
They @AmazonHelp driver took it to my old flat and marked it as ref","0","2020-05-05 14:11:02","TRUE","3","0",FALSE
"134","People are ordering kettlebells online for home workouts. Gosh I feel sorry for the Amazon delivery drivers.","-1","2020-05-05 14:10:40","FALSE","0","1",FALSE
"135","RT @BadWilf: So, I wont be getting the season 14 DoctorWho blu ray. 
They @AmazonHelp driver took it to my old flat and marked it as ref","0","2020-05-05 14:10:39","TRUE","3","0",TRUE
"136","RT @BadWilf: So, I wont be getting the season 14 DoctorWho blu ray. 
They @AmazonHelp driver took it to my old flat and marked it as ref","0","2020-05-05 14:10:02","TRUE","3","0",TRUE
"137","So, I wont be getting the season 14 DoctorWho blu ray. 
They @AmazonHelp driver took it to my old flat and marked  ","0","2020-05-05 14:09:45","FALSE","3","7",FALSE
"138","RT @Sifill_LDF: Now desperately needed bailout funds for the post office are being held hostage to Trumps demand that the USPS charge Amaz","-2","2020-05-05 14:08:40","TRUE","233","0",FALSE
"139","@FalcondaleJan @Autumns_Mummy My amazon delivery drivers did that before all this!!","0","2020-05-05 14:08:29","FALSE","0","0",FALSE
"140","@Staaceedawson We appreciate you reaching out. You can find additional information about orders, deliveries, and CO  ","1","2020-05-05 14:08:07","FALSE","0","0",FALSE
"141","@RKDasgupta @RishiSunak Well Amazon and supermarkets need delivery drivers. Maybe start there ?","1","2020-05-05 14:07:43","FALSE","0","1",FALSE
"142","RT @DBLTAPesports: No one: 

Amazon Prime Delivery Drivers:  ","0","2020-05-05 14:07:27","TRUE","9112","0",TRUE
"143","Anker via Amazon. 
 
Anker 7-in-1 USB C Hub, with 4K HDMI, 100W Power Delivery, USB C Data Port, microSD and SD Car  ","0","2020-05-05 14:07:09","FALSE","0","0",TRUE
"144","Whole-Foods-Delivery-Slot: Automation for Whole Foods and Amazon Fresh Deliveries   ","1","2020-05-05 14:07:00","FALSE","1","6",FALSE
"145","For Mothers Day, all I want is the first amazon regular toilet paper delivery of this entire pandemic to my home.  ","0","2020-05-05 14:07:00","FALSE","1","15",FALSE
"146","@natashamac14 The Amazon delivery guy having a mask slung across his chin describes England pretty well","2","2020-05-05 14:06:29","FALSE","0","1",FALSE
"147","@HelloMixy @ETBrandEquity @dentsuaegis Thats actually spot on. Itll be interesting to see Google shape you last m  ","1","2020-05-05 14:06:03","FALSE","0","1",FALSE
"148","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:05:24","TRUE","26","0",TRUE
"149","RT @GENmag: Dining out may no longer be the main alternative to cooking at home, as many restaurants vanish.  

The winners will be compani","1","2020-05-05 14:04:56","TRUE","99","0",FALSE
"150","Mercury in teeth fillings causes lots of illnesses, mental and physical. Read excellent book . Online immediate del  ","1","2020-05-05 14:02:00","FALSE","0","0",FALSE
"151","RT @DBLTAPesports: No one: 

Amazon Prime Delivery Drivers:  ","0","2020-05-05 14:01:49","TRUE","9112","0",TRUE
"152","@AmazonHelp I also noticed, when I searched for a replacement today, that another sellers item was marked as not av  ","0","2020-05-05 14:01:19","FALSE","0","0",FALSE
"153","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:00:48","TRUE","26","0",TRUE
"154","During COVID-19, while we're staying at home and there's an increase in delivery service needs - turn your Amazon p  ","0","2020-05-05 14:00:02","FALSE","0","0",FALSE
"155","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 13:59:11","TRUE","26","0",TRUE
"156","Lazada (Thailand Amazon) has an option for cash on delivery, this is not going to end well for me","1","2020-05-05 13:59:06","FALSE","0","0",FALSE
"157","RT @jdh888: @amazon @AmazonHelp @Kriseman approximately 8:20am today 5/5/20 3 prime delivery trucks pulled out of distribution center near","0","2020-05-05 13:58:39","TRUE","1","0",FALSE
"158","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 13:58:36","TRUE","26","0",TRUE
"159","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 13:57:52","TRUE","26","0",TRUE
"160","Would @amazon consider some reimbursement to AmazonPrime customers due to the inability to offer 2-day shipping fo  ","-1","2020-05-05 13:56:43","FALSE","0","0",FALSE
"161","Amazon delivery drivers have deffo had enough of me ","1","2020-05-05 13:55:58","FALSE","0","0",FALSE
"162","@DonDrewlio We're sorry for the poor experience! We'd like to help. To confirm, are you experiencing an issue with  ","-2","2020-05-05 13:55:22","FALSE","0","0",FALSE
"163","@amazon @AmazonHelp @Kriseman approximately 8:20am today 5/5/20 3 prime delivery trucks pulled out of distribution  ","0","2020-05-05 13:54:43","FALSE","1","0",FALSE
"164","@bournidentityy Hey there. We appreciate you reaching out. Were temporarily experiencing longer than usual deliver  ","1","2020-05-05 13:54:32","FALSE","0","0",FALSE
"165","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 13:52:20","TRUE","26","0",TRUE
